"P00016","S001","11/15/2016 4:30 PM","7757",""
"P00016","S001","11/15/2016 5:00 PM","7656",""
"P00016","S001","11/15/2016 5:30 PM","7428",""
"P00016","S001","11/15/2016 6:00 PM","6922",""
"P00016","S001","11/15/2016 6:30 PM","6522",""
"P00017","S001","11/15/2016 3:30 PM","8099","36378"
"P00017","S001","11/15/2016 4:00 PM","7973","36378"
"P00017","S001","11/15/2016 4:30 PM","7769","36378"
"P00017","S001","11/15/2016 5:00 PM","7669","36378"
"P00017","S001","11/15/2016 5:30 PM","7436","36378"
"P00017","S001","11/15/2016 6:00 PM","6927","36378"
"P00017","S001","11/15/2016 6:30 PM","6492","36378"
"P00018","S001","11/15/2016 3:30 PM","7960",""
"P00018","S001","11/15/2016 4:00 PM","7835",""
"P00018","S001","11/15/2016 4:30 PM","7629",""
"P00018","S001","11/15/2016 5:00 PM","7529",""
"P00018","S001","11/15/2016 5:30 PM","7295",""
"P00018","S001","11/15/2016 6:00 PM","6786",""
"P00018","S001","11/15/2016 6:30 PM","6345",""
"P00019","S001","11/15/2016 3:30 PM","8140",""
"P00019","S001","11/15/2016 4:00 PM","7927",""
"P00019","S001","11/15/2016 4:30 PM","7624",""
"P00019","S001","11/15/2016 5:00 PM","7446",""
"P00019","S001","11/15/2016 5:30 PM","7194",""
"P00019","S001","11/15/2016 6:00 PM","6676",""
"P00019","S001","11/15/2016 6:30 PM","6217",""
"P00020","S001","11/15/2016 3:30 PM","8211",""
"P00020","S001","11/15/2016 4:00 PM","7998",""
"P00020","S001","11/15/2016 4:30 PM","7695",""
"P00020","S001","11/15/2016 5:00 PM","7517",""
"P00020","S001","11/15/2016 5:30 PM","7265",""
"P00020","S001","11/15/2016 6:00 PM","6747",""
"P00020","S001","11/15/2016 6:30 PM","6288",""
"P00021","S001","11/15/2016 3:30 PM","8102",""
"P00021","S001","11/15/2016 4:00 PM","7891",""
"P00021","S001","11/15/2016 4:30 PM","7633",""
"P00021","S001","11/15/2016 5:00 PM","7514",""
"P00021","S001","11/15/2016 5:30 PM","7278",""
"P00021","S001","11/15/2016 6:00 PM","6740",""
"P00021","S001","11/15/2016 6:30 PM","6282",""
"P00022","S001","11/15/2016 3:30 PM","8028",""
"P00022","S001","11/15/2016 4:00 PM","7820",""
"P00022","S001","11/15/2016 4:30 PM","7561",""
"P00022","S001","11/15/2016 5:00 PM","7444",""
"P00022","S001","11/15/2016 5:30 PM","7209",""
"P00022","S001","11/15/2016 6:00 PM","6670",""
"P00022","S001","11/15/2016 6:30 PM","6214",""
"P00023","S001","11/15/2016 3:30 PM","8228",""
"P00023","S001","11/15/2016 4:00 PM","8020",""
"P00023","S001","11/15/2016 4:30 PM","7761",""
"P00023","S001","11/15/2016 5:00 PM","7644",""
"P00023","S001","11/15/2016 5:30 PM","7409",""
"P00023","S001","11/15/2016 6:00 PM","6870",""
"P00023","S001","11/15/2016 6:30 PM","6414",""
"P00024","S001","11/15/2016 3:30 PM","9605",""
"P00024","S001","11/15/2016 4:00 PM","9620",""
"P00024","S001","11/15/2016 4:30 PM","9322",""
"P00024","S001","11/15/2016 5:00 PM","8648",""
"P00024","S001","11/15/2016 5:30 PM","7917",""
"P00024","S001","11/15/2016 6:00 PM","7321",""
"P00024","S001","11/15/2016 6:30 PM","6972",""
"P00025","S001","11/15/2016 3:30 PM","9397",""
"P00025","S001","11/15/2016 4:00 PM","9413",""
"P00025","S001","11/15/2016 4:30 PM","9114",""
"P00025","S001","11/15/2016 5:00 PM","8440",""
"P00025","S001","11/15/2016 5:30 PM","7710",""
"P00025","S001","11/15/2016 6:00 PM","7113",""
"P00025","S001","11/15/2016 6:30 PM","6764",""
"P00026","S001","11/15/2016 3:30 PM","8962",""
"P00026","S001","11/15/2016 4:00 PM","8976",""
"P00026","S001","11/15/2016 4:30 PM","8679",""
"P00026","S001","11/15/2016 5:00 PM","8006",""
"P00026","S001","11/15/2016 5:30 PM","7275",""
"P00026","S001","11/15/2016 6:00 PM","6677",""
"P00026","S001","11/15/2016 6:30 PM","6328",""
"P00027","S001","11/15/2016 3:30 PM","9195",""
"P00027","S001","11/15/2016 4:00 PM","9210",""
"P00027","S001","11/15/2016 4:30 PM","8912",""
"P00027","S001","11/15/2016 5:00 PM","8239",""
"P00027","S001","11/15/2016 5:30 PM","7508",""
"P00027","S001","11/15/2016 6:00 PM","6911",""
"P00027","S001","11/15/2016 6:30 PM","6561",""
"P00028","S001","11/15/2016 3:30 PM","10415",""
"P00028","S001","11/15/2016 4:00 PM","10203",""
"P00028","S001","11/15/2016 4:30 PM","9824",""
"P00028","S001","11/15/2016 5:00 PM","9437",""
"P00028","S001","11/15/2016 5:30 PM","8796",""
"P00028","S001","11/15/2016 6:00 PM","8196",""
