Start Time,Date,Month,Time,Hour,Minute,A124 (HQ),A136 (HQ),A143 (HQ),A168 (HQ),A226 (HQ),A235 (HQ),A236 (HQ),A318 (HQ),A345 (HQ),A346 (HQ),Boardroom (HQ),District Counsel (HQ),B108 (Admin),B124 (Admin),B207 (Admin),B228 (Admin),B232 (Admin),C209,C212,C225,D102,D131,Evergreen (BHA),G111 (BHA),G112 (BHA),Maple (BHA),R-316 Rinc,Computers (BHA)
10/13/15 8:45,10/13/15,10,8:45:00,8,45,0,1,1,3,0,4,1,0,0,1,0,0,0,7,0,0,9,1,0,0,1,0,1,0,0,1,0,1
10/13/15 9:00,10/13/15,10,9:00:00,9,0,0,1,0,2,1,2,1,0,0,1,0,0,0,4,0,0,1,1,3,0,1,6,1,0,0,1,0,1
10/13/15 9:15,10/13/15,10,9:15:00,9,15,0,1,0,2,1,2,1,0,0,1,0,0,0,4,0,0,1,1,3,0,1,6,1,0,0,1,0,1
10/13/15 9:30,10/13/15,10,9:30:00,9,30,0,1,0,2,1,2,1,1,0,2,0,0,0,4,0,0,2,1,3,0,1,6,1,0,0,1,0,1
10/13/15 9:45,10/13/15,10,9:45:00,9,45,0,1,0,2,1,2,1,1,0,2,0,0,0,4,0,0,2,1,3,0,1,6,1,0,0,1,0,1
10/13/15 10:00,10/13/15,10,10:00:00,10,0,0,1,0,3,1,2,1,2,0,2,0,0,1,1,1,0,2,1,0,1,1,6,1,0,0,1,0,1
10/13/15 10:15,10/13/15,10,10:15:00,10,15,0,1,0,3,1,2,1,2,0,2,0,0,1,1,1,0,2,1,0,1,1,6,1,0,0,1,0,1
10/13/15 10:30,10/13/15,10,10:30:00,10,30,0,1,0,3,0,0,3,1,0,2,0,0,1,4,1,0,2,1,0,0,1,0,1,0,0,1,0,1
10/13/15 10:45,10/13/15,10,10:45:00,10,45,0,1,0,3,0,0,3,1,0,2,0,0,1,4,1,0,2,1,0,0,1,0,1,0,0,1,0,1
10/13/15 11:00,10/13/15,10,11:00:00,11,0,0,1,21,2,0,6,3,1,0,2,0,0,1,4,1,0,2,1,1,0,1,4,1,0,0,1,0,1
10/13/15 11:15,10/13/15,10,11:15:00,11,15,0,1,21,2,0,6,3,1,0,2,0,0,1,4,1,0,2,1,1,0,1,4,1,0,0,1,0,1
10/13/15 11:30,10/13/15,10,11:30:00,11,30,0,1,21,2,0,1,1,1,0,2,0,0,1,1,1,0,1,1,1,0,2,4,1,0,0,1,0,1
10/13/15 11:45,10/13/15,10,11:45:00,11,45,0,1,21,2,0,1,1,1,0,2,0,0,1,1,1,0,1,1,1,0,2,4,1,0,0,1,0,1
10/13/15 12:00,10/13/15,10,12:00:00,12,0,0,1,1,3,0,1,1,1,0,1,0,0,0,7,0,0,1,0,0,0,2,0,1,0,0,3,0,1
10/13/15 12:15,10/13/15,10,12:15:00,12,15,0,1,1,3,0,1,1,1,0,1,0,0,0,7,0,0,1,0,0,0,2,0,1,0,0,3,0,1
10/13/15 12:30,10/13/15,10,12:30:00,12,30,5,1,1,3,0,0,1,1,0,1,0,0,0,1,0,0,2,0,0,0,2,0,1,0,0,3,0,1
10/13/15 12:45,10/13/15,10,12:45:00,12,45,5,1,1,3,0,0,1,1,0,1,0,0,0,1,0,0,2,0,0,0,2,0,1,0,0,3,0,1
10/13/15 13:00,10/13/15,10,13:00:00,13,0,7,1,6,2,0,0,5,0,0,3,0,0,1,1,1,0,2,0,0,0,1,11,1,0,0,3,0,1
10/13/15 13:15,10/13/15,10,13:15:00,13,15,7,1,6,2,0,0,5,0,0,3,0,0,1,1,1,0,2,0,0,0,1,11,1,0,0,3,0,1
10/13/15 13:30,10/13/15,10,13:30:00,13,30,7,1,6,3,0,0,5,0,0,3,0,0,1,1,1,0,2,0,0,8,1,11,1,0,0,3,0,1
10/13/15 13:45,10/13/15,10,13:45:00,13,45,7,1,6,3,0,0,5,0,0,3,0,0,1,1,1,0,2,0,0,8,1,11,1,0,0,3,0,1
10/13/15 14:00,10/13/15,10,14:00:00,14,0,7,1,6,3,0,0,1,2,0,4,1,0,25,1,25,0,2,5,0,8,1,1,1,0,0,3,0,1
